categorie,Marque et annee,Prix,Adresse,Kilometrage,Boite_vitesse,Carburant,Reference
motos,Yamaha TMax 2020,3 900 000FCFA,"Ouakam,Dakar",14000 km,Non spécifié,Non spécifié,139327
motos,Yamaha X-Max 2020,1 200 000FCFA,"Yoff,Dakar",10000 km,Non spécifié,Non spécifié,139325
motos,Honda CBF 2014,1 150 000FCFA,"Grand-Dakar,Dakar",55000 km,Non spécifié,Non spécifié,139317
motos,Piaggio Xevo 2012,490 000FCFA,"Parcelles Assainies,Dakar",1 km,Non spécifié,Non spécifié,139278
motos,Aprilia Mojito 2018,300 000FCFA,"Grand-Dakar,Dakar",150 km,Non spécifié,Non spécifié,139255
motos,BMW GS 2019,4 900 000FCFA,"Sicap Liberté,Dakar",20000 km,Non spécifié,Non spécifié,139244
motos,BMW GS 2021,2 500 000FCFA,"Sicap Liberté,Dakar",17000 km,Non spécifié,Non spécifié,139245
motos,Ducati 999 2024,7 900 000FCFA,"Sicap Liberté,Dakar",500 km,Non spécifié,Non spécifié,139247
motos,BMW R 2023,4 900 000FCFA,"Sicap Liberté,Dakar",7000 km,Non spécifié,Non spécifié,139246
motos,BMW GS 2023,6 900 000FCFA,"Sicap Liberté,Dakar",2000 km,Non spécifié,Non spécifié,139248
motos,BMW GS 2022,5 500 000FCFA,"Sicap Liberté,Dakar",17000 km,Non spécifié,Non spécifié,139126
motos,BMW F 2020,3 500 000FCFA,"Sicap Liberté,Dakar",4000 km,Non spécifié,Non spécifié,139127
motos,Ducati Scrambler 2017,2 500 000FCFA,"Sicap Liberté,Dakar",13000 km,Non spécifié,Non spécifié,139132
motos,BMW F 2023,4 900 000FCFA,"Sicap Liberté,Dakar",9000 km,Non spécifié,Non spécifié,139160
motos,Honda NSS Forza 2023,3 900 000FCFA,"Sicap Liberté,Dakar",14000 km,Non spécifié,Non spécifié,139062
motos,BMW S 2023,5 900 000FCFA,"Sicap Liberté,Dakar",3000 km,Non spécifié,Non spécifié,139065
motos,BMW GS 2020,5 900 000FCFA,"Sicap Liberté,Dakar",20000 km,Non spécifié,Non spécifié,139066
motos,BMW GS 2020,5 500 000FCFA,"Sicap Liberté,Dakar",17000 km,Non spécifié,Non spécifié,139067
motos,BMW S 2023,5 900 000FCFA,"Sicap Liberté,Dakar",500 km,Non spécifié,Non spécifié,139069
motos,BMW GS 2021,2 500 000FCFA,"Sicap Liberté,Dakar",17000 km,Non spécifié,Non spécifié,139070
motos,BMW S 2023,5 900 000FCFA,"Sicap Liberté,Dakar",3000 km,Non spécifié,Non spécifié,139071
motos,Beverly  350i  2016,1 600 000FCFA,"Hann Bel-Air,Dakar",52917 km,Non spécifié,Non spécifié,139028
motos,Honda SH 2016,375 000FCFA,"Sicap Liberté,Dakar",15000 km,Non spécifié,Non spécifié,139043
motos,Honda SH 2023,1 900 000FCFA,"Plateau,Dakar",14000 km,Non spécifié,Non spécifié,138966
motos,Honda PCX 2019,650 000FCFA,"Mbao,Dakar",1 km,Non spécifié,Non spécifié,138983
motos,KTM jakarta 2021,350 000FCFA,"Point-E,Dakar",1000 km,Non spécifié,Non spécifié,138883
motos,KTM SX 2015,1 400 000FCFA,"Guédiawaye,Dakar",1 km,Non spécifié,Non spécifié,138870
motos,Yamaha TMax 2012,2 350 000FCFA,"VDN,Dakar",101000 km,Non spécifié,Non spécifié,138797
motos,Yamaha TMax 2012,2 300 000FCFA,"VDN,Dakar",98000 km,Non spécifié,Non spécifié,138800
motos,Yamaha TMax 2012,2 350 000FCFA,"VDN,Dakar",98000 km,Non spécifié,Non spécifié,138801
motos,Piaggio Liberty 2020,320 000FCFA,"Hann Maristes,Dakar",2533 km,Non spécifié,Non spécifié,138717
motos,Peugeot Tweet 2022,350 000FCFA,"Scat Urbam,Dakar",1000 km,Non spécifié,Non spécifié,138623
motos,Kymco Mxer 2020,400 000FCFA,"Sipres,Dakar",390 km,Non spécifié,Non spécifié,138598
motos,Kymco People 2017,450 000FCFA,"Hann Bel-Air,Dakar",25000 km,Non spécifié,Non spécifié,138592
motos,Piaggio Beverly 2011,400 000FCFA,"Ouest Foire,Dakar",250 km,Non spécifié,Non spécifié,138510
motos,Piaggio Carnaby 2009,550 000FCFA,"Kaolack,Kaolack",51122 km,Non spécifié,Non spécifié,138498
motos,Kymco Xciting 2021,1 800 000FCFA,"Mamelles,Dakar",20000 km,Non spécifié,Non spécifié,138452
motos,KTM SMR 2013,1 850 000FCFA,"Thiaroye,Dakar",21500 km,Non spécifié,Non spécifié,138437
motos,KTM jakarta 2023,350 000FCFA,"Point-E,Dakar",10000 km,Non spécifié,Non spécifié,138362
motos,Kymco Agility 2021,380 000FCFA,"Hann Maristes,Dakar",56586 km,Non spécifié,Non spécifié,138373
motos,Kymco Agility 2019,150FCFA,"Keur Massar,Dakar",150 km,Non spécifié,Non spécifié,138317
motos,Triumph Sprint 2000,1 600 000FCFA,"Sicap Sacré Coeur,Dakar",64000 km,Non spécifié,Non spécifié,138267
motos,Suzuki GSX-F 1994,1 200 000FCFA,"Sicap Sacré Coeur,Dakar",56500 km,Non spécifié,Non spécifié,138268
motos,BMW GS 2015,3 500 000FCFA,"Keur Massar,Dakar",29590 km,Non spécifié,Non spécifié,138206
motos,Peugeot Scoot 2019,750 000FCFA,"Biscuiterie,Dakar",6000 km,Non spécifié,Non spécifié,138200
motos,Yamaha X-Max 2006,700 000FCFA,"Sicap Liberté,Dakar",78000 km,Non spécifié,Non spécifié,138190
motos,Suzuki Burgman 2021,1 300 000FCFA,"Nord Foire,Dakar",63000 km,Non spécifié,Non spécifié,138179
motos,Kymco Xciting 2021,1 900 000FCFA,"Liberté 6 extension,Dakar",5000 km,Non spécifié,Non spécifié,138154
motos,Honda XRV Africa Twin 2018,3 600 000FCFA,"Plateau,Dakar",11900 km,Non spécifié,Non spécifié,138100
motos,Yamaha MT-09-TRACER 2019,2 500 000FCFA,"Golf,Dakar",57000 km,Non spécifié,Non spécifié,138098
motos,Yamaha TMax 2019,2 400 000FCFA,"Golf,Dakar",1 km,Non spécifié,Non spécifié,138099
motos,Piaggio Zip 2018,350 000FCFA,"Plateau,Dakar",15 km,Non spécifié,Non spécifié,137293
motos,Honda NSS Forza 2016,800 000FCFA,"Cambérène,Dakar",500 km,Non spécifié,Non spécifié,138059
motos,Yamaha TMax 2012,1 800 000FCFA,"Pikine Nord,Dakar",83000 km,Non spécifié,Non spécifié,138048
motos,Yamaha MT 2018,2 500 000FCFA,"Saint-Louis,Saint-Louis",37000 km,Non spécifié,Non spécifié,138025
motos,Yamaha TMax 2021,4 500 000FCFA,"Hann Maristes,Dakar",23000 km,Non spécifié,Non spécifié,137997
motos,Suzuki UC-Epicuro 2022,350 000FCFA,"Gueule-Tapée, Fass, Colobane,Dakar",20000 km,Non spécifié,Non spécifié,137959
motos,Kymco Dink 2017,175 000FCFA,"Guédiawaye,Dakar",150000 km,Non spécifié,Non spécifié,137884
motos,Kawasaki Ninja 2018,1 500 000FCFA,"Hann Maristes,Dakar",1 km,Non spécifié,Non spécifié,137885
motos,Honda CB 2021,3 500 000FCFA,"Parcelles Assainies,Dakar",9000 km,Non spécifié,Non spécifié,137869
motos,Piaggio Beverly 2018,14 000 000FCFA,"Guédiawaye,Dakar",1 km,Non spécifié,Non spécifié,137870
motos,Yamaha X-Max 2020,600 000FCFA,"Keur Massar,Dakar",1 km,Non spécifié,Non spécifié,137871
motos,Yamaha X-Max 2020,1 600 000FCFA,"Mamelles,Dakar",11000 km,Non spécifié,Non spécifié,137855
motos,Piaggio Beverly 2018,1 500 000FCFA,"Gueule-Tapée, Fass, Colobane,Dakar",1 km,Non spécifié,Non spécifié,137789
motos,Yamaha TMax 2008,1 400 000FCFA,"Guédiawaye,Dakar",1 km,Non spécifié,Non spécifié,137791
motos,Yamaha X-Max 2018,1 600 000FCFA,"Liberté 6 extension,Dakar",1 km,Non spécifié,Non spécifié,137774
motos,Piaggio Liberty 2010,330 000FCFA,"Cité Keur gorgui,Dakar",121000 km,Non spécifié,Non spécifié,137775
motos,Piaggio Xevo 2017,450 000FCFA,"Guédiawaye,Dakar",300 km,Non spécifié,Non spécifié,137776
motos,Honda SH 2012,550 000FCFA,"Ouakam,Dakar",98000 km,Non spécifié,Non spécifié,137724
motos,KTM Super Adventure 2021,4 300 000FCFA,"Hann Maristes,Dakar",20000 km,Non spécifié,Non spécifié,137627
motos,Yamaha DT 2011,390 000FCFA,"Mermoz Sacré-Coeur,Dakar",28000 km,Non spécifié,Non spécifié,137624
motos,Yamaha X-City 2021,700FCFA,"Mbacke,Diourbel",5000 km,Non spécifié,Non spécifié,137614
motos,Beverly  350i  2016,250 000FCFA,"Yeumbeul Nord,Dakar",23789 km,Non spécifié,Non spécifié,137584
motos,Yamaha X-Max 2016,1 000 000FCFA,"Sicap Dieuppeul,Dakar",42000 km,Non spécifié,Non spécifié,137581
motos,Piaggio Zip 2017,280 000FCFA,"Ziguinchor,Ziguinchor",250 km,Non spécifié,Non spécifié,137536
motos,Yamaha X-Max 2019,1 200 000FCFA,"Amitié,Dakar",1 km,Non spécifié,Non spécifié,137494
motos,Honda SH 2015,480 000FCFA,"Rufisque,Dakar",1111 km,Non spécifié,Non spécifié,137491
motos,BMW GS 2015,3 500 000FCFA,"Cité Avion,Dakar",29000 km,Non spécifié,Non spécifié,137492
motos,Honda SH 2016,700 000FCFA,"Tivaouane Peulh,Dakar",23027 km,Non spécifié,Non spécifié,137490
motos,Piaggio Liberty 2018,600 000FCFA,"Grand-Yoff,Dakar",1 km,Non spécifié,Non spécifié,137398
